node_names,edges,0,1,2,3,4,5,6,7
xx_113,0.025772702,0.014292222,0.016003193,0.018026758,0.01960855,0.020179823,0.024940843,0.02272187,0.03018636
xx_114,0.02261717,0.012042912,0.021816803,0.015726062,0.025487844,0.018780615,0.030346679,0.021599215,0.035238996
xx_115,0.022016898,0.010886045,0.013975965,0.014517593,0.018206203,0.01769214,0.023372788,0.020555323,0.028700614
xx_116,0.013906503,0.010535052,0.014846072,0.014154124,0.01905502,0.01686971,0.024882156,0.019332629,0.030549522
xx_117,0.011076138,0.010676864,0.018425608,0.013895172,0.022102548,0.016282111,0.027773123,0.018624933,0.033219792
xx_118,0.007781091,0.00802031,0.025368469,0.010778528,0.02819195,0.013022023,0.03179063,0.015777517,0.036682338
xx_119,0.010126544,0.00657377,0.012897611,0.010129068,0.01930563,0.01366573,0.026956143,0.017370317,0.03434011
xx_120,0.0060803574,0.0064790873,0.010214736,0.009607642,0.016901061,0.012355865,0.024522819,0.014895046,0.03199996
xx_121,0.0030763582,0.0056550894,0.011862954,0.00932317,0.01812663,0.012558031,0.02494587,0.015395265,0.032074735
xx_122,0.011273149,0.006931388,0.009253131,0.011888183,0.014727665,0.01621655,0.0216091,0.02019374,0.028492602
Papilio_bianor,0.012936,0.0062319427,0.0042238543,0.011385615,0.011627057,0.014818144,0.020217208,0.017742107,0.029030401
xx_123,0.014241364,0.0066387644,0.028132439,0.00893223,0.03250085,0.011533522,0.037255153,0.013728709,0.042200048
xx_124,0.008030801,0.0042130486,0.02737948,0.0066947606,0.032455195,0.0089202775,0.03836369,0.011560471,0.044376396
xx_125,0.01240585,0.008096303,0.03356684,0.01102618,0.0379522,0.013583495,0.04312451,0.016520593,0.04783739
Doxocopa_laurentia,0.01162,0.009517477,0.021230832,0.011198656,0.027224652,0.011971105,0.03140218,0.013578519,0.03744322
xx_126,0.009429787,0.0051931054,0.028994482,0.008438188,0.033403397,0.011715373,0.03881892,0.014934998,0.04389209
xx_127,0.022011153,0.006381239,0.033791866,0.009845254,0.037267324,0.013286384,0.042038385,0.017361442,0.045975015
xx_128,0.012961078,0.0032369082,0.027128687,0.0053527746,0.03305088,0.007998619,0.0385253,0.010470861,0.044525176
Taenaris_catops,0.017122,0.00087940367,0.03185303,0.002730469,0.0372289,0.004660453,0.04322689,0.0067599365,0.04923152
Tithorea_harmonia,0.010948,0.003655712,0.023139525,0.0064504,0.027806597,0.008446814,0.032771327,0.010448205,0.0373867
Mechanitis_polymnia,0.000953,0.004113144,0.021571832,0.0066971215,0.024273803,0.00926762,0.027131706,0.0120089,0.029352305
xx_129,0.006504327,0.0041709538,0.025903523,0.0070305625,0.030336216,0.009695715,0.035393536,0.012402662,0.04046188
Danaus_melanippus,0.005954,0.003554504,0.023984218,0.006774098,0.028300647,0.009608176,0.033395976,0.012405056,0.038539737
Danaus_chrysippus,0.0051,0.0042589516,0.025736295,0.007329627,0.029983684,0.010140147,0.034978572,0.01286088,0.039977275
Danaus_gilippus,0.004899,0.0033199629,0.024508469,0.006215349,0.029725304,0.008954255,0.035019394,0.011698247,0.04038292
xx_130,0.0037412224,0.008121131,0.029672474,0.011256503,0.03368116,0.014248691,0.03857413,0.017797945,0.043119095
xx_131,0.0083122,0.008594679,0.025748229,0.011615642,0.030012678,0.015038805,0.03475222,0.018519808,0.039247986
Glaucopsyche_alexis,0.00942,0.008676445,0.02757414,0.0118195275,0.03179349,0.015027261,0.03645239,0.018442284,0.041160583
Maculinea_arion,0.009791,0.00636925,0.024030989,0.009646499,0.028363265,0.012801396,0.03366114,0.016528022,0.038610935
